substation,technology,capacity_mw,curtailment_pct,binding_branch,confidence,confidence_reason,model_residual_mw,pel_mw,residual_pct_of_pel,model_residual_std,model_max_residual
NEWL,PV,10,7.23,W38_3S->NEWL3_1L3,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,27.436,,,
NEWL,PV,20,24.91,W38_3S->NEWL3_1L3,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,27.436,,,
NEWL,PV,30,37.67,W38_3S->NEWL3_1L3,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,27.436,,,
NEWL,PV,50,53.54,W38_3S->NEWL3_1L3,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,27.436,,,
NEWL,Wind,5,0.0,,N/A,No curtailment — no binding constraint,,,,,
NEWL,Wind,10,0.17,W38_3S->NEWL3_1L3,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,27.436,,,
NEWL,Wind,20,7.93,W38_3S->NEWL3_1L3,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,27.436,,,
NEWL,Wind,30,23.74,W38_3S->NEWL3_1L3,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,27.436,,,
NEWL,Wind,50,45.23,W38_3S->NEWL3_1L3,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,27.436,,,
NEWL,BESS,5,0.04,W38_3S->NEWL3_1L3,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,27.436,,,
NEWL,BESS,10,1.7,W38_3S->NEWL3_1L3,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,27.436,,,
NEWL,BESS,20,24.65,W38_3S->NEWL3_1L3,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,27.436,,,
NEWL,BESS,30,37.43,W38_3S->NEWL3_1L3,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,27.436,,,
NEWL,BESS,50,50.64,W38_3S->NEWL3_1L3,Moderate,Branch active (mean 1.2 MW) but no generation residual available,,27.436,,,
PCYL,PV,5,3.25,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
PCYL,PV,10,3.68,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
PCYL,PV,20,4.57,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
PCYL,PV,30,5.57,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
PCYL,PV,50,8.84,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
PCYL,Wind,5,11.05,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
PCYL,Wind,10,12.38,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
PCYL,Wind,20,15.11,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
PCYL,Wind,30,18.25,ABYS1_213->ABYS3_2T0,Moderate,Branch active (mean 8.2 MW) but no generation residual available,,60.0,,,
